review_text,label,label_encoded
sekarang sudah jauh lebih aplikasinya pelayanannya juga sudah lebih bagus tanjung balai makassar hanya hari dari mulai bayar melalui brimo bri sampai diterima bukti pajaknya terima kasih,Positif,2
jawab nih jawab kang susah mulu langsung keluar kode kesalahan,Negatif,0
bayar pajak sangat mudah dokumen diantar sampai rumah,Positif,2
tidak mungkin setiap tahun sudah pakai dalam film,Netral,1
akun lama yang sudah register enggak bisa login karena belum link nomor telepon sekarang cuma bisa pakai nomor telepon register enggak bisa karena nik sudah terdaftar enggak di kasih akses buat login pakai email sama sekal atau apa begitu ya minimal helpdesk lah ini enggak mau ganti developer saja logic nya kacau begini,Negatif,0
pengiriman nya lama makan waktu hari kalah sama online shop,Netral,1
bagus sangat memudahkan,Positif,2
pelayanan memuaskan,Netral,1
bukti pajaknya sudah sampai mantap mempermudah bagi yang sulit cuti,Positif,2
membantu sekal,Positif,2
mantap semudah ini bayar pajak motor,Positif,2
lebih fleksibel dan fleksibel,Netral,1
untuk pembayaran biaya ini dan seto nya bayar sewa nya pelanggan karena hanya jarak sekitar kamu tidak bisa bersaing harganya dengan kalau belanja di toko kas atau oren untuk pengiriman adalah,Negatif,0
terima kasih telah mempermudah kaum rebahan,Positif,2
aplikasi sosial,Negatif,0
sangat membantu untuk yang sibuk bekerja,Positif,2
terima kasih,Positif,2
yess sangat membantu sekal semenjak pandemi selalu pakai ini untuk perpanjang stnk terima kasih signal,Positif,2
pengiramannya seminggu lebih hmm,Netral,1
aplikasi ok enggak ribet dan mudah,Negatif,0
mantap,Positif,2
mantap mudah di gunakan,Positif,2
cepat dan efisien,Positif,2
tidak pernah membuat aplikasi telepon log besar tapi selalu ada muncul notifikasi atau masalah pada koneksi padahal apabila internet kencang dan kuota sangat banyak harap diperbaiki panggilan ke aplikasinya,Negatif,0
sudah di coba stnk sudah di terima,Netral,1
layanan yang berbeda usia,Netral,1
prosesnya cetak modern,Netral,1
memberikan kemudahan,Netral,1
mantap mudah sampai cepat baik dan download data dari awal sudah benar,Negatif,0
sangat dipermudah terima kasih,Positif,2
mantap,Positif,2
ribet banget enggak jelas halaman utama beda enggak bisa dipakai bayar mau daftar muncul untuk hubungi cs dihubungin chat malah enggak ada agent yang bisa ditanya cuma dijawab bot kocak,Negatif,0
sangat membantu bagi saya yang kerja di luar kota jadi tidak perlu datang ke samsat tidak mengganggu pekerjaan cuma dalam pengiriman memang agak lama,Positif,2
uang uang sesai alamat,Netral,1
penanganan yang lama mendingan langsung cetak ke samsat dari pada lewat aplikasi,Netral,1
tegal bayak jaya semoga untuk pajak setiap bulannya juga bisa online,Netral,1
pengurusan pembayaran ke lancar sangat bisa dipercaya thanx,Positif,2
semakin simpel dan modern,Netral,1
wan,Netral,1
sangat membantu,Positif,2
aplikasinya baru bisa maju dan jarang dipakai lagi,Netral,1
alhamdulillah cepat proses nya,Positif,2
mantap cepat terima kasih,Positif,2
bikin ini saja berhenti terus,Negatif,0
pembayaran rumah jadi mudah sekarang perlu waktu cukup pakai ditempat semua jadi bisa cepat jadi ditempat dirumah semuanya beres,Negatif,0
