review_text,label,label_encoded
allahmdulilah akhir bisa juga bayar pajak motor lewat aplikasi nih,Netral,1
cepat enggak pakai ribet prosesnya sangat membatu bagi mereka kerja di luar domisili coz ini perlu anda tinggal tunggu pelaksanaan kerja stnk di kirim ke alamat kita tuju ’ i nya perayaan lima tahunan juga di permudah di satu aplikasi ini juga min min kasih,Negatif,0
alhamdulillah puas dengan layanan nya,Positif,2
sangat membantu,Positif,2
mantap,Positif,2
akhir ini kan sekarang kita bulan lagi tidak dapat melakukan pengesahan yg harap hubungi mr atau cs terus bug sudah di coba jurang minggu sampai mau jatuh dia malah nya habis tapi lebih error,Negatif,0
praktis cepat simple,Positif,2
agent merasa jelek atas nama lili karena pertanyaan dia masih ada dengan janji terakhirnya dia akhiri,Negatif,0
mantap walau sempat was was kenapa yg jatuh tempo tanggal 18 tidak bisa diperpanjang tapi sekarang sudah bisa jadi,Negatif,0
stnk belum di kirim h,Netral,1
memudahkan pembayaran walau saya berada di lain provinsi,Netral,1
tahun ini bayar pajak kendaraan pakai aplikasi signal lagi saya sudah pakai jasa pengiriman kilat tapi surat nya sampai setelah hari ke saya sulit komunikasi dengan cs nya dan tidak tau harus menghubungi siapa saya cek instagram samsat kota bekasi tapi enggak bisa nge chat akhirnya saya cuma pasrah menunggu sampai surat itu tiba walau sempat panik kira ini tenggak hari terakhir masa berlaku stnk lama nya,Negatif,0
sangat membantu,Positif,2
lebih mudah dan tidak ribet,Negatif,0
2006,Netral,1
bagus tapi dengan daerah indonesia nya yang cukup lambat,Negatif,0
kagak contoh nya app proyek cari situs korupsi doang perpanjang stnk susah pilih di kirim ke alamat sendiri pilihan samsat enggak keluar pilih klik kanan sedikit malah gagal karena terus mending ikuti aplikasinya kagak yang hilang,Negatif,0
alhamdulillah pengurusan pajak online sudah selesai mudah dan cepat paket diterima dengan aman terima kasih samsat digital dan pos indonesia,Positif,2
membantu banget enggak ribet dan cepat prosesnya pengirimannya pun cepat,Negatif,0
bagus banget gsah kesamsat lagi,Positif,2
belum bisa bikin sim sih nya,Netral,1
mantap kadang bisa kadang kagak ternyata sudah update frame baru terima kasih juga sudah meringankan sedikit beban saya sebagai masyarakat yang terpaksa harus bayar pajak kendaraan,Positif,2
terima kasih tepat waktu,Positif,2
membantu saya tanpa antri dan pungli,Positif,2
langsung mau bayar pajak online mau ke spot dulu,Negatif,0
dan verifikasi untuk pembayaran ilegal aktif dikembangkan untuk perbaikan,Negatif,0
sangat membantu,Positif,2
tinggal tunggu di rumah pak pos antar stnk saya hehehehe,Netral,1
pelayanannya baik hanya pembuatan stnk nya saja yang lumayan lama minggu lebih,Netral,1
membayar pajak dengan mudah mantap,Positif,2
aplikasinya bagus cuma lama sekal pengiriman dokumen fisiknya hampir minggu harusnya sd hari sudah sampai karena samsatnya dekat,Positif,2
lambat,Negatif,0
sangat membantu proses cepat,Positif,2
matul apkny bisa nolong orang yang sibuk berkerja tapi tetap taat bayar pajak bermotor nya,Netral,1
pelayanan lambat sekal,Negatif,0
sangat membantu dan praktis enggak perlu antri ke samsat lagi,Positif,2
proses penerbitan dan pengiriman agak lama untuk signal nya membantu dan mempermudah yang sibuk bekerja,Positif,2
sangat puas karena aman dan prosesnya cepat dan sangat membantu di tengah² kesibukan,Positif,2
mantap banget tanpa harus repot keluar,Positif,2
yess you tidak perlu ribet ke selatan hey you you yeeyy wan you,Negatif,0
mudah dan cepat,Positif,2
lancar,Positif,2
aplikasi sangat membantu akan saja update terbaru sering di panen kedepan terlihat lebih baik,Negatif,0
mantap,Positif,2
tahun namun sekarang saya tidak cocok didaftarkan karena terlalu panjang,Negatif,0
proses nya cepat mudah mudahan kedepannya tambah baik lagi,Positif,2
ok 70,Netral,1
terima kasih,Positif,2
proses nya mudah,Positif,2
sangat membantu semoga ke depanny pembayaran pajak kendaraan di permudah coba kalau bayar pajak kendaraan bisa lewat semua pembayaran kalau milik pribadi tapi kalau masih pakai nama orang harus ke samsat biar di verifikasi biar pemasukan pajak kendaraan untuk pembangunan jalan semua bagus kalau mutasi di permudah saya yakin orang pasti mau mutasi contohnya saya karena sistem nya susah dan mahal lebih baik aku bayar pajak ke tempat asalnya,Negatif,0
tolong kembali seru lagi sebelum dikirim dulu sebelum sampai disini,Netral,1
tapi nunggak tidak bisa sih disuruh tol sini dalam konsepnya sama saja tinggal bayar dan denda dll jadi,Negatif,0
bisa pakai log lama saja jadi,Negatif,0
terima kasih sangat membantu,Positif,2
